umoId,title,artistCreator,description,objectId,_id,photographer,people,appDate,isoDate,origDate,creationPlace,event,latitude,longitude,exhibition,labelTextEnglish,labelTextSpanish,locality,specimenNumber,commonName,scientificName,medium,copyright,creditLine,keyword,restrictionsForAccess,materialsReleaseRecd,permissionsRestrictions,sourceInstitution,infoStatus,institutionDesc,habitatDs,dsLocId,generalLocationDs,thenNowDs,internalNotes,,,,,thumbWidth,thumbHeight,thumbAspectRatio,expandedHeight,expandedWidth,expandedAspectRatio,
,Island Fox Pup,,"Island Fox pup. There are 6 subspecies of island fox, each named for the specific Channel Island they inhabit. Four of the subspecies - were federally listed as endangered in 2004.",7973744270_66b1d1327e_o,ds21004,A. Little,,10-Sep-12,9/10/12,2012-Sep-10,"Channel Islands, CA",,33.9859866,-119.905062,Attic / Coast to Cactus,"Island Fox pup. There are 6 subspecies of island fox, each named for the Channel Island they inhabit. Four of these subspecies were federally listed as endangered in 2004.","Cachorro de zorro isleÃ±o. Hay seis sub-especies de zorros isleÃ±os, y cada una recibe el nombre de la Isla del Canal que habita. Cuatro de estas subespecies fueron listadas federalmente como especies en peligro en 2004.",,,,,,,U.S. Fish & Wildlife Service/Creative Commons 2.0 License,A. Little/U.S. Fish & Wildlife Service,"fox, endangered",https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,Coast,21,Channel Islands,,https://www.flickr.com/photos/usfws_pacificsw/7973744270/in/set-72157626575602587/,,,,,131,175,0.748571,600,800,0.75,"Cachorro de zorro isleÃ±o. Hay seis sub-especies de zorros isleÃ±os, y cada una recibe el nombre de la Isla del Canal que habita. Cuatro de estas subespecies fueron listadas federalmente como especies en peligro en 2004."
,Avalon Postcard,,"Postcard of Avalon Bay, Santa Catalina Island, California.",Avalonbaybig,ds21003,,,1920,1920-00-00,ca. 1920,Santa Catalina Island,,33.3889848,-118.4549432,,"Postcard of Avalon Bay, Santa Catalina Island, California.","Una postal de Avalon Bay, Isla de Santa Catalina, California.",,,,,,Public Domain,Public Domain,postcard,Public Domain,,,,,,coast,21,Channel Islands,,,,,,,175,110,1.59091,1000,626,1.59744,"Una postal de Avalon Bay, Isla de Santa Catalina, California."
,Swimmers in water near Santa Catalina Island (partially visible behind ship).Â S-009-057 120,,Swimmers in water near Santa Catalina Island (partially visible behind ship).,1041,ds21002,,,1889,1889-00-00,1889,"Santa Catalina Island, CA",,33.3889848,-118.4549432,,Swimmers in water near Santa Catalina Island.,Nadadores en el agua cerca de la Isla de Santa Catalina.,,,,,,Los Angeles Public Library,Los Angeles Public Library,,"The contents of this collection are restricted to personal, research, and non-commercial use. The Library cannot share the personal and/or contact information of the donors, their descendants, or associates who contributed photographs and oral histories to the collection.",buy image from LAPL,,,,,coast,21,Channel Islands,,http://photos.lapl.org/carlweb/jsp/DoSearch?databaseID=968&index=w&terms=00001041,,,,,175,114,1.53509,1000,650,1.53846,Nadadores en el agua cerca de la Isla de Santa Catalina.
,"Point Bennett, San Miguel Island",,"Point Bennett, San Miguel Island",8083583507_94a40b937d_o,ds21001,Michael Field,,6-Oct-12,10/6/12,2012-Oct-06,"San Miguel Island, CA",,34.0451262,-120.3740909,,"Point Bennett, San Miguel Island","Point Bennett, Isla de San Miguel.",,,,,,"(CC) Michael Field, Creative Commons 2.0 License",Michael Field,,https://creativecommons.org/licenses/by-nc/2.0/,,,,,,coast,21,Channel Islands,,https://creativecommons.org/licenses/by-nc/2.0/,,,,,175,117,1.49573,1000,667,1.49925,"Point Bennett, Isla de San Miguel."
,American Indian GirlÂ Scout,,American Indian girl in a GirlÂ ScoutÂ uniform.,00004916_R,ds20004,,,Between 1939 and 1941,1940-00-00,1939/1941,"Riverside, CA",,33.9460156,-117.399528,Attic / Coast to Cactus,American Indian girl in a GirlÂ ScoutÂ uniform.,Una niÃ±a americana nativa en uniforme de las Girl Scouts.,,,,,,Los Angeles Public Library,Los Angeles Public Library Shades of L.A. Collection,scout,"The contents of this collection are restricted to personal, research, and non-commercial use. The Library cannot share the personal and/or contact information of the donors, their descendants, or associates who contributed photographs and oral histories to the collection.",,,,,,Scrublands,20,Riverside,,http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=147&controlNumber=22011,,,,,168,175,0.96,770,800,0.9625,Una niÃ±a americana nativa en uniforme de las Girl Scouts.
,Murietta Hot Springs,,"CampingÂ near Murietta Hot Springs, in Riverside.",00049518_R,ds20003,,,Between 1913 and 1916,1914-00-00,1913/1916,"Murietta, CA",,33.57746,-117.1984405,Attic / Coast to Cactus,"CampingÂ near Murietta Hot Springs, in Riverside.",Acampando cerca de Murietta Hot Springs en Riverside.,,,,,,Los Angeles Public Library,Los Angeles Public Library Security Pacific National Bank Collection,camping,http://www.lapl.org/collections-resources/photo-order-info,,,,,,Scrublands,20,Riverside,,http://photos.lapl.org/carlweb/jsp/FullRecord?databaseID=968&record=97&controlNumber=54597,,,,,135,175,0.771429,618,800,0.7725,Acampando cerca de Murietta Hot Springs en Riverside.
,Lake Elsinore,,Lake Elsinore,5159675762_66b996500d_o,ds20002,Neil Kremer,,8-Nov-10,11/8/10,2010-Nov-08,"Lake Elsinore, CA",,33.6884935,-117.3177705,Attic / Coast to Cactus,Lake Elsinore.,El pueblo de Lake Elsinore.,,,,,,"(CC) Neil Kremer, Creative Commons License 2.0",Neil Kremer,lake,https://creativecommons.org/licenses/by-nd/2.0/,,https://creativecommons.org/licenses/by-nd/2.0/,,,,chaparral,20,Riverside,,https://www.flickr.com/photos/neilarmstrong2/5159675762,,,,,175,116,1.50862,1000,662,1.51057,El pueblo de Lake Elsinore.
,,,"San Jacinto River in flood at western end of Perris Valley. Riverside County, California. 1905",mwc00571,ds20001,"Mendenhall, W.C.",,1905,1905-00-00,1905,"Perris Valley, CA",,33.7855715,-117.220792,Attic / Coast to Cactus,San Jacinto River in flood at western end of Perris Valley.,El RÃ_o de San Jacinto inundado en el extremo oeste de Perris Valley.,,,,,,,USGS,flood,US Gov't so should be PD,,,,,,Riparian,20,Riverside,,/htmllib/btch429/btch429j/btch429z/btch429/mwc00571.jpg,,,,,175,114,1.53509,1000,651,1.5361,El RÃ_o de San Jacinto inundado en el extremo oeste de Perris Valley.
,hiking,,"A Griffith Park hiking trail and downtown Glendale in the distance, the gloom of the day starting to lift. Shot from the top of Mt. Hollywood.",46677891_6d1eb82c52_o,ds19050,Clinton Steeds,,6-Feb-05,2/6/05,2005-Feb-06,"Glendale, CA",,34.136554,-118.2942,Attic / Coast to Cactus,"A Griffith Park hiking trail and downtown Glendale in the distance, the gloom of the day starting to lift.  Shot from the top of Mt. Hollywood.","Un sendero en el Parque Griffith y el centro de Glendale a la distancia, la penumbra del dÃ_a empezando a levantarse. Foto tomada desde la cima de Mount Hollywood.",,,,,,"(CC) Clinton Steeds, Creative Commons License 2.0",Clinton Steeds,hiking,https://creativecommons.org/licenses/by/2.0/,,https://creativecommons.org/licenses/by/2.0/,,,,Mountains,19,Los Angeles,,,,,,,175,116,1.50862,1000,665,1.50376,"Un sendero en el Parque Griffith y el centro de Glendale a la distancia, la penumbra del dÃ_a empezando a levantarse. Foto tomada desde la cima de Mount Hollywood."
,L.A. Clouds,,It's hard to believe that the city of LA is just underneath this cloud layer.,241041706_4387fef1af_o,ds19049,Mel Stoutsenberger,,11-Sep-06,9/11/06,2006-Sep-11,"Los Angeles, CA",,34.0204989,-118.4117325,Attic / Coast to Cactus,It's hard to believe that the city of LA is just underneath this cloud layer.,QuiÃ©n dirÃ_a que la ciudad de L.A. estÃ¡ apenas debajo de esta capa de nubes.,,,,,,"(CC) Mel Stoutsenberger, Creative Commons License BY-SA 2.0",Mel Stoutsenberger,city,https://creativecommons.org/licenses/by-sa/2.0/,,https://creativecommons.org/licenses/by-sa/2.0/,,,,Mountains,19,Los Angeles,,https://www.flickr.com/photos/rappensuncle/241041706/,,,,,175,120,1.45833,1000,686,1.45773,QuiÃ©n dirÃ_a que la ciudad de L.A. estÃ¡ apenas debajo de esta capa de nubes.
