"umoId","title","artistCreator","description","objectId","_id","photographer","people","date","creationPlace","event","latitude","longitude","exhibition","labelTextEnglish","labelTextSpanish","locality","specimenNumber","commonName","scientificName","family","genus","species","medium","projectCode","projectName","notes","copyright","creditLine","keyword","restrictionsForAccess","materialsReleaseRecd","permissionsRestrictions","sourceInstitution","infoStatus","institutionDesc","habitatDs","dsLocId","generalLocationDs","thenNowDs","internalNotes"
"","Fire damage","","We first visited the Laguna mountains in 2013, soon after moving to San Diego. Not long after that, fire ravaged the same areas we had visited, including where the Pacific Crest Trail meets up with Highway S1 at the overlook above Anza-Borrego. I came back in 2014 to take this picture.","SBard_Laguna Vista after 2013 fire June 1 2014","ds20039","Susanne Clara Bard","","2014","Laguna Mountains, CA","","32.8528282","-116.6158525","Attic Section","We visited the Laguna Mountains in 2013. Not long after that, fire ravaged the area, including where the Pacific Crest Trail meets up with Highway S1 at the desert overlook.","","","","","","","","","","16","Coast to Cactus","","© Susanne Clara Bard","Susanne Clara Bard","fire, Laguna","Staff","Need release","","","","","Mountains","2","Cleveland National Forest","NOW2","Susanne Clara Bard"
"","hiking","","A Griffith Park hiking trail and downtown Glendale in the distance, the gloom of the day starting to lift. Shot from the top of Mt. Hollywood.","46677891_6d1eb82c52_o","ds19050","Clinton Steeds","","2005-Feb-06","Gelndale, CA","","34.136554","-118.2942","","A Griffith Park hiking trail and downtown Glendale in the distance, the gloom of the day starting to lift. Shot from the top of Mt. Hollywood.","","","","","","","","","","","","","(CC) Clinton Steeds, Creative Commons License 2.0","Clinton Steeds","hiking","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Mountains","19","Los Angeles","",""
"","L.A. Clouds","","It's hard to believe that the city of LA is just underneath this cloud layer.","241041706_4387fef1af_o","ds19049","Mel Stoutsenberger","","2006-Sep-11","Los Angeles, CA","","34.0204989","-118.4117325","","It's hard to believe that the city of LA is just underneath this cloud layer.","","","","","","","","","","","","","(CC) Mel Stoutsenberger, Creative Commons License BY-SA 2.0","Mel Stoutsenberger","city","https://creativecommons.org/licenses/by-sa/2.0/","","https://creativecommons.org/licenses/by-sa/2.0/","","","","Mountains","19","Los Angeles","","https://www.flickr.com/photos/rappensuncle/241041706/"
"","Venice Canal","","Venice Canal","5862393574_1e1177e544_o","ds19048","cuddlecafe","","2011-Jun-21","Venice Beach, CA","","33.983688","-118.466263","Attic Section","Venice Canal.","","","","","","","","","","16","Coast to Cactus","","(CC) cuddlecafe, Creative Commons License 2.0","cuddlecafe","water","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/humansquid/5862393574/"
"","","","Mr Green Buddy. Allen's Hummer. All shiny and nice looking.","14129686642_328f44dac1_o","ds19047","tdlucas5000","","2014-May-03","Lakewood, CA","","33.844693","-118.113051","Attic Section","""Mr. Green Buddy"": an Allen's Hummingbird, all shiny and nice looking.","","","","","","","","","","16","Coast to Cactus","","(CC) tdlucas5000, Creative Commons License BY-SA 2.0","tdlucas5000","hummingbird, bird","https://creativecommons.org/licenses/by-sa/2.0/","","https://creativecommons.org/licenses/by-sa/2.0/","","","","Urban","19","Los Angeles","","https://www.flickr.com/photos/tdlucas5000/14129686642"
"","","","Mudriver. Small break in the rain during the worst day of rain in the last 10 years. The tide was so low that the area your looking at is usually 20' below water. It was amazing to be there, I wish you could have seen it.","5286610828_f3431a4db9_o","ds19046","Neil Kremer","","2010-Dec-22","Manhattan Beach, CA","","33.8894944","-118.4010315","Attic Section","A small break in the rain during the rainiest day in the last 10 years. The tide was so low that the area shown is usually 20' below water.","","","","","","","","","","16","Coast to Cactus","","(CC) Neil Kremer, Creative Commons License BY-ND 2.0","Neil Kremer","tide, beach","https://creativecommons.org/licenses/by-nd/2.0/","","https://creativecommons.org/licenses/by-nd/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/neilarmstrong2/5286610828"
"","","","Catalina Mariposa Lily. Calochortus catalinae","2391774294_00eaf57aaf_o","ds19045","Matthew Robinson","","2008-Apr-05","Temescal Canyon, Pacific Palisades CA","","34.036789","-118.533834","Attic Section","Catalina mariposa lily, Calochortus catalinae","","","","","","","","","","16","Coast to Cactus","","(CC) Matthew Robinson, Creative Commons License 2.0","Matthew Robinson","plant","https://creativecommons.org/licenses/by/2.0/","","https://creativecommons.org/licenses/by/2.0/","","","","Mountains","19","Los Angeles","","https://www.flickr.com/photos/noisecollusion/2391774294/"
"","Extreme smog, 1995.","","Extreme smog, 1995.","2930896786_3381b486e2_o","ds19044","","","1995","Los Angeles, CA","","34.1923645","-118.493162","Attic Section","Extreme smog in L.A.","","","","","","","","","","16","Coast to Cactus","","(CC) Metro Library and Archive, Creative Commons License BY-NC-SA 2.0","Metro Library and Archive","smog, city, skyline","https://creativecommons.org/licenses/by-nc-sa/2.0/","","https://creativecommons.org/licenses/by-nc-sa/2.0/","","","","Urban","19","Los Angeles","","https://www.flickr.com/photos/metrolibraryarchive/2930896786/"
"","Hildur & Corinne at the beach, Santa Monica","","Hildur & Corinne at the beach, Santa Monica. If my grandmother was 11 months old, that would date this picture to late September or early October of 1910.","2246145039_c99efd11b3_o","ds19043","","","2005-Mar","Santa Monica, CA","","34.0218628","-118.4804206","Attic Section","Hildur & Corinne at the beach, Santa Monica. If my grandmother was 11 months old, that would date this picture to late September or early October of 1910.","","","","","","","","","","16","Coast to Cactus","","(CC) Derek, Creative Commons License BY-NC-ND 2.0","Derek","beach","https://creativecommons.org/licenses/by-nc-nd/2.0/","","https://creativecommons.org/licenses/by-nc-nd/2.0/","","","","Coast","19","Los Angeles","","https://www.flickr.com/photos/justderek/2246145039"
"","Laurel Canyon Trackless Trolley","","Laurel Canyon Trackless Trolley. James Rojas Collecton","2943127985_4955b9fa69_o","ds19042","","","1915","Los Angeles, CA","","34.1173429","-118.3753081","Attic Section","Laurel Canyon trackless trolley.","","","","","","","","","","16","Coast to Cactus","","(CC) Metro Library and Archive, James Rojas Collection, Creative Commons License BY-NC-SA 2.0","Metro Library and Archive","transportation","https://creativecommons.org/licenses/by-nc-sa/2.0/","","https://creativecommons.org/licenses/by-nc-sa/2.0/","","","","Chaparral","19","Los Angeles","","https://www.flickr.com/photos/metrolibraryarchive/2943127985/"
